Zip_Code,Percent_Working
Z00601,38
Z00602,46.8
Z00603,42.6
Z00606,38
Z00610,48.4
Z00612,45.6
Z00616,42.9
Z00617,39.1
Z00622,37.7
Z00623,48
Z00624,43.4
Z00627,46.7
Z00631,32.4
Z00637,41.4
Z00638,34.8
Z00641,38.1
Z00646,53.2
Z00647,43.9
Z00650,45.8
Z00652,48.6
Z00653,35.8
Z00656,39.6
Z00659,52.1
Z00660,52.6
Z00662,42.2
Z00664,37.5
Z00667,38
Z00669,38.1
Z00670,48.3
Z00674,47.8
Z00676,42
Z00677,51.6
Z00678,42.2
Z00680,47.8
Z00682,45.7
Z00683,47.3
Z00685,39.4
Z00687,41.4
Z00688,38
Z00690,51.1
Z00692,44.5
Z00693,42.7
Z00694,0
Z00698,39.9
Z00703,41.1
Z00704,47.5
Z00705,42.6
Z00707,37.8
Z00714,37.9
Z00715,39.1
Z00716,46.3
Z00717,45.6
Z00718,48.5
Z00719,42.7
Z00720,35.4
Z00723,35.6
Z00725,57
Z00727,62.4
Z00728,47.6
Z00729,52.4
Z00730,44.1
Z00731,46.9
Z00735,52.8
Z00736,56.3
Z00738,54.6
Z00739,60.2
Z00740,50.3
Z00741,45.2
Z00745,53.6
Z00751,46.5
Z00754,47.6
Z00757,55.2
Z00765,51.2
Z00766,49.1
Z00767,36.9
Z00769,48.5
Z00771,44.6
Z00772,48.1
Z00773,49.8
Z00775,69.5
Z00777,49.8
Z00778,61.3
Z00780,58.6
Z00782,37.8
Z00783,39.2
Z00784,38.8
Z00786,36.2
Z00791,48.4
Z00794,36.7
Z00795,52.9
Z00901,50.4
Z00906,100
Z00907,67.3
Z00909,62.1
Z00911,73.9
Z00912,62.2
Z00913,35.9
Z00915,53.2
Z00917,57
Z00918,65.4
Z00920,63.7
Z00921,56
Z00923,50.2
Z00924,56.5
Z00925,54
Z00926,65.6
Z00927,63.3
Z00934,64.5
Z00936,0
Z00949,59.6
Z00950,-
Z00951,100
Z00952,56.4
Z00953,60.1
Z00956,59.5
Z00957,57.4
Z00959,66.8
Z00960,0
Z00961,56.2
Z00962,47.3
Z00965,50.1
Z00966,69.1
Z00968,76
Z00969,70.7
Z00971,59.8
Z00976,65.6
Z00979,73.6
Z00982,61.1
Z00983,64.9
Z00985,60.7
Z00987,65
Z01001,76.8
Z01002,76.6
Z01003,41.7
Z01005,82.5
Z01007,81
Z01008,79.9
Z01009,64.2
Z01010,85.6
Z01011,74.8
Z01012,75.6
Z01013,69.9
Z01020,74.7
Z01022,75.8
Z01026,72.1
Z01027,78.4
Z01028,83.9
Z01029,65.3
Z01030,75.8
Z01031,64.3
Z01032,87.2
Z01033,80.7
Z01034,79.1
Z01035,86.3
Z01036,81.1
Z01037,72.4
Z01038,90.8
Z01039,75.4
Z01040,64.7
Z01050,78.3
Z01053,59.2
Z01054,80.1
Z01056,73.2
Z01057,76.5
Z01060,77.4
Z01062,75.4
Z01063,0
Z01066,-
Z01068,76.8
Z01069,73.4
Z01070,80.7
Z01071,83.1
Z01072,81
Z01073,85.8
Z01074,85.4
Z01075,77.6
Z01077,79.9
Z01079,75.2
Z01080,61.3
Z01081,69.3
Z01082,75.3
Z01083,65.3
Z01084,78.6
Z01085,77.7
Z01086,100
Z01088,72.9
Z01089,73.7
Z01092,72.5
Z01093,77.7
Z01094,54.5
Z01095,82
Z01096,79.8
Z01097,100
Z01098,75.5
Z01103,37
Z01104,61.1
Z01105,41.6
Z01106,80.4
Z01107,48.8
Z01108,62.4
Z01109,57.1
Z01118,77.8
Z01119,68.8
Z01128,78.6
Z01129,79.6
Z01151,70.8
Z01199,-
Z01201,72
Z01220,76.6
Z01222,92.4
Z01223,78.7
Z01224,67.6
Z01225,74.5
Z01226,77.7
Z01229,88.5
Z01230,79
Z01235,79.4
Z01236,79.4
Z01237,77.4
Z01238,81.6
Z01240,67.9
Z01242,99.1
Z01243,87.7
Z01244,81
Z01245,74.8
Z01247,68.9
Z01253,82.2
Z01254,76.2
Z01255,73.7
Z01256,74.1
Z01257,77.8
Z01258,84.7
Z01259,66.9
Z01260,62.5
Z01262,82.2
Z01264,59.6
Z01266,76.6
Z01267,81.9
Z01270,75.4
Z01301,75.3
Z01330,87.8
Z01331,67.5
Z01337,84.5
Z01338,81
Z01339,70.4
Z01340,76.8
Z01341,86
Z01342,83.6
Z01343,60
Z01344,77.7
Z01346,72
Z01347,100
Z01349,79.4
Z01350,70.8
Z01351,78.5
Z01354,84.4
Z01355,78.8
Z01360,81
Z01364,62.7
Z01366,74.5
Z01367,83.4
Z01368,71.9
Z01370,75.4
Z01373,78.8
Z01375,78.6
Z01376,67.6
Z01378,74.4
Z01379,71.8
Z01420,70
Z01430,79.1
Z01431,74.2
Z01432,76.1
Z01434,21.5
Z01436,72.7
Z01438,36.8
Z01440,64.1
Z01450,78.7
Z01451,78
Z01452,82.2
Z01453,75.1
Z01460,77.9
Z01462,81
Z01463,78.8
Z01464,46.1
Z01467,50.2
Z01468,78
Z01469,80.2
Z01473,83.9
Z01474,84.6
Z01475,76.8
Z01501,80
Z01503,85.8
Z01504,82.3
Z01505,84.1
Z01506,77.8
Z01507,81
Z01510,76.3
Z01515,87.1
Z01516,84.6
Z01518,77.5
Z01519,84.6
Z01520,80.8
Z01521,76.1
Z01522,83.3
Z01523,69.2
Z01524,77
Z01525,70.2
Z01527,81
Z01529,80.4
Z01531,75.7
Z01532,81.6
Z01534,86.4
Z01535,80.3
Z01536,78.7
Z01537,70.6
Z01540,80.6
Z01541,79.1
Z01542,82
Z01543,82.7
Z01545,82
Z01550,70.2
Z01560,80.2
Z01561,83
Z01562,74.9
Z01564,77.9
Z01566,78.7
Z01568,85
Z01569,82.4
Z01570,72.2
Z01571,80.7
Z01581,78.9
Z01583,52.9
Z01585,76.4
Z01588,78.3
Z01590,79.9
Z01602,77.9
Z01603,65.5
Z01604,69.7
Z01605,70.1
Z01606,77.8
Z01607,70.1
Z01608,52.1
Z01609,68.4
Z01610,59.6
Z01611,85.2
Z01612,84.5
Z01701,81.6
Z01702,76.9
Z01718,93.2
Z01719,79.8
Z01720,79.5
Z01721,82.6
Z01730,79.5
Z01731,29
Z01740,83.2
Z01741,80.2
Z01742,62.8
Z01745,76.7
Z01746,79.6
Z01747,81.1
Z01748,77.1
Z01749,80.3
Z01752,82.2
Z01754,79
Z01756,81.2
Z01757,79.9
Z01760,85.1
Z01770,76.8
Z01772,80.1
Z01773,77.6
Z01775,81.7
Z01776,78.5
Z01778,80.3
Z01801,81.1
Z01803,81.1
Z01810,80.1
Z01821,80.2
Z01824,81.3
Z01826,78.6
Z01827,80.9
Z01830,72.5
Z01832,72.5
Z01833,83.7
Z01834,82
Z01835,80.6
Z01840,54.8
Z01841,65.4
Z01843,69.4
Z01844,78.7
Z01845,81.2
Z01850,69.1
Z01851,69.7
Z01852,69.8
Z01854,69
Z01860,79.1
Z01862,74.4
Z01863,81
Z01864,81.1
Z01867,82.5
Z01876,81.6
Z01879,83.5
Z01880,81.1
Z01886,82.9
Z01887,83.1
Z01890,80.7
Z01901,62
Z01902,71.2
Z01904,81.1
Z01905,72
Z01906,78.8
Z01907,81
Z01908,81.2
Z01913,80.2
Z01915,78
Z01921,76.8
Z01922,89.6
Z01923,80.5
Z01929,83.6
Z01930,73.9
Z01937,0
Z01938,80.7
Z01940,81.6
Z01944,72.7
Z01945,79.9
Z01949,59.6
Z01950,76.6
Z01951,76.3
Z01952,74.5
Z01960,80.5
Z01966,79.3
Z01969,77.8
Z01970,75.6
Z01982,78.4
Z01983,85
Z01984,76.9
Z01985,80.5
Z02019,81.9
Z02021,78.3
Z02025,74.4
