Zip_Code,Percent_Poverty
Z00601,60.7
Z00602,54
Z00603,50
Z00606,64.3
Z00610,49.6
Z00612,48.3
Z00616,53.7
Z00617,55.2
Z00622,58.9
Z00623,49.3
Z00624,58.9
Z00627,48.6
Z00631,68.2
Z00637,47.3
Z00638,59.5
Z00641,51.8
Z00646,36
Z00647,53.9
Z00650,54.8
Z00652,47.5
Z00653,64.4
Z00656,56.1
Z00659,44.7
Z00660,37.4
Z00662,55.4
Z00664,58.1
Z00667,58.8
Z00669,58.2
Z00670,57.3
Z00674,46.3
Z00676,54.4
Z00677,48.7
Z00678,56.5
Z00680,50.9
Z00682,52.4
Z00683,50.3
Z00685,56.5
Z00687,55.2
Z00688,54.4
Z00690,41
Z00692,50.4
Z00693,48.3
Z00694,72.7
Z00698,51.5
Z00703,54.4
Z00704,51.6
Z00705,47.9
Z00707,55.9
Z00714,52.6
Z00715,70.2
Z00716,49.3
Z00717,59.6
Z00718,53.1
Z00719,49.1
Z00720,59.5
Z00723,59.1
Z00725,42.9
Z00727,31
Z00728,52.5
Z00729,42.7
Z00730,53.4
Z00731,55.1
Z00735,42.4
Z00736,42.3
Z00738,44.7
Z00739,38.4
Z00740,61.6
Z00741,43.9
Z00745,38.5
Z00751,58.6
Z00754,48.3
Z00757,50.1
Z00765,39.2
Z00766,54.1
Z00767,52.3
Z00769,48.9
Z00771,49.3
Z00772,53.6
Z00773,45.8
Z00775,45.6
Z00777,47.1
Z00778,34.1
Z00780,36.7
Z00782,60.4
Z00783,56.9
Z00784,52.6
Z00786,19.1
Z00791,45
Z00794,61.5
Z00795,50.7
Z00901,48.8
Z00906,8.2
Z00907,30.1
Z00909,54
Z00911,27.5
Z00912,46.4
Z00913,76
Z00915,61.3
Z00917,54
Z00918,40.8
Z00920,35.3
Z00921,46.4
Z00923,55.2
Z00924,48
Z00925,63.2
Z00926,29.4
Z00927,28.4
Z00934,0
Z00936,-
Z00949,37.3
Z00950,-
Z00951,100
Z00952,43.6
Z00953,31.3
Z00956,39.1
Z00957,38.4
Z00959,30.3
Z00960,63
Z00961,30.5
Z00962,54.8
Z00965,50.3
Z00966,18.6
Z00968,9.6
Z00969,16.2
Z00971,38.5
Z00976,30.2
Z00979,18.5
Z00982,34.4
Z00983,31.2
Z00985,34.4
Z00987,28
Z01001,7.4
Z01002,32.9
Z01003,38.6
Z01005,5.3
Z01007,9.2
Z01008,3.8
Z01009,34.5
Z01010,3.2
Z01011,7.6
Z01012,10.9
Z01013,17
Z01020,9.9
Z01022,22.3
Z01026,5.6
Z01027,8.6
Z01028,5.6
Z01029,14.9
Z01030,10.1
Z01031,25.2
Z01032,3.9
Z01033,4.2
Z01034,10
Z01035,6.8
Z01036,5.2
Z01037,10.8
Z01038,6
Z01039,6.8
Z01040,28.8
Z01050,9.3
Z01053,20.4
Z01054,7.7
Z01056,4.9
Z01057,8.8
Z01060,19
Z01062,14.3
Z01063,-
Z01066,0
Z01068,5.7
Z01069,6.3
Z01070,9.9
Z01071,2.5
Z01072,9.9
Z01073,5.4
Z01074,0
Z01075,9.9
Z01077,5.4
Z01079,14.5
Z01080,27.4
Z01081,5.9
Z01082,14.7
Z01083,8.8
Z01084,6.5
Z01085,9.4
Z01086,-
Z01088,14.8
Z01089,10.9
Z01092,22.8
Z01093,5.2
Z01094,5.1
Z01095,4.1
Z01096,7.8
Z01097,0
Z01098,6.5
Z01103,56.5
Z01104,29.4
Z01105,55.2
Z01106,4.5
Z01107,45.1
Z01108,30.7
Z01109,32.1
Z01118,12.4
Z01119,16.6
Z01128,2
Z01129,13.1
Z01151,32.5
Z01199,-
Z01201,16.8
Z01220,9.7
Z01222,4.3
Z01223,7.1
Z01224,16.7
Z01225,5.5
Z01226,14.5
Z01229,5.3
Z01230,9
Z01235,6.9
Z01236,1.2
Z01237,4
Z01238,10.7
Z01240,13.9
Z01242,0.8
Z01243,5.1
Z01244,17.4
Z01245,10.8
Z01247,17
Z01253,5.1
Z01254,6.2
Z01255,5.3
Z01256,8.1
Z01257,15.4
Z01258,2.7
Z01259,6
Z01260,2.7
Z01262,15.6
Z01264,16.9
Z01266,5.7
Z01267,10.3
Z01270,5.4
Z01301,14.1
Z01330,7.2
Z01331,15.2
Z01337,6.4
Z01338,2.6
Z01339,10.9
Z01340,8.9
Z01341,3.7
Z01342,8.2
Z01343,0
Z01344,9.9
Z01346,11.6
Z01347,11.9
Z01349,4.6
Z01350,3.8
Z01351,10.7
Z01354,10.3
Z01355,8.5
Z01360,4.3
Z01364,13.9
Z01366,2.4
Z01367,19
Z01368,14
Z01370,8.2
Z01373,6.5
Z01375,21.2
Z01376,20
Z01378,8.9
Z01379,17.4
Z01420,19.4
Z01430,7.4
Z01431,8
Z01432,11.9
Z01434,11.2
Z01436,9.1
Z01438,34.4
Z01440,19.1
Z01450,3.2
Z01451,7.7
Z01452,5.8
Z01453,13.1
Z01460,4.3
Z01462,9.2
Z01463,5.6
Z01464,12.3
Z01467,14
Z01468,8
Z01469,4.3
Z01473,3.4
Z01474,1.7
Z01475,8.6
Z01501,4.1
Z01503,2.7
Z01504,5.7
Z01505,3.3
Z01506,8.9
Z01507,4.7
Z01510,9.1
Z01515,5.9
Z01516,3.3
Z01518,9.1
Z01519,4.7
Z01520,3.6
Z01521,7.4
Z01522,0.8
Z01523,9.3
Z01524,7
Z01525,0
Z01527,7.1
Z01529,8.6
Z01531,5
Z01532,3.1
Z01534,5.6
Z01535,5.8
Z01536,8.1
Z01537,16
Z01540,8.8
Z01541,7.5
Z01542,1.9
Z01543,2.4
Z01545,4.7
Z01550,16.9
Z01560,8
Z01561,10.6
Z01562,11.4
Z01564,4.9
Z01566,2.3
Z01568,5
Z01569,6.7
Z01570,15.5
Z01571,9.9
Z01581,4.3
Z01583,8.5
Z01585,7.3
Z01588,9.2
Z01590,3.7
Z01602,13.6
Z01603,21.8
Z01604,20.4
Z01605,27.1
