Place,Business2015,Employment2015
"Z00501 (Holtsville, NY)",2,b
"Z01001 (Agawam, MA)",457,9641
"Z01002 (Amherst, MA)",571,18764
"Z01003 (Amherst, MA)",18,267
"Z01004 (Amherst, MA)",13,165
"Z01005 (Barre, MA)",94,926
"Z01007 (Belchertown, MA)",223,1864
"Z01008 (Blandford, MA)",18,220
"Z01009 (Bondsville, MA)",16,142
"Z01010 (Brimfield, MA)",75,271
"Z01011 (Chester, MA)",13,32
"Z01012 (Chesterfield, MA)",11,45
"Z01013 (Chicopee, MA)",311,4331
"Z01014 (Chicopee, MA)",1,a
"Z01020 (Chicopee, MA)",542,8768
"Z01021 (Chicopee, MA)",9,196
"Z01022 (Chicopee, MA)",60,1931
"Z01026 (Cummington, MA)",23,70
"Z01027 (Easthampton, MA)",402,3892
"Z01028 (East Longmeadow, MA)",500,7114
"Z01029 (East Otis, MA)",14,264
"Z01030 (Feeding Hills, MA)",202,1206
"Z01031 (Gilbertville, MA)",18,59
"Z01032 (Goshen, MA)",23,100
"Z01033 (Granby, MA)",129,731
"Z01034 (Granville, MA)",31,131
"Z01035 (Hadley, MA)",300,5061
"Z01036 (Hampden, MA)",122,849
"Z01037 (Hardwick, MA)",17,267
"Z01038 (Hatfield, MA)",68,1358
"Z01039 (Haydenville, MA)",32,222
"Z01040 (Holyoke, MA)",884,16968
"Z01041 (Holyoke, MA)",33,942
"Z01050 (Huntington, MA)",32,236
"Z01053 (Leeds, MA)",29,1645
"Z01054 (Leverett, MA)",32,122
"Z01056 (Ludlow, MA)",409,4179
"Z01057 (Monson, MA)",138,753
"Z01059 (North Amherst, MA)",10,107
"Z01060 (Northampton, MA)",767,11883
"Z01061 (Northampton, MA)",19,111
"Z01062 (Florence, MA)",190,1797
"Z01063 (Northampton, MA)",4,h
"Z01066 (North Hatfield, MA)",9,b
"Z01068 (Oakham, MA)",26,62
"Z01069 (Palmer, MA)",263,3349
"Z01070 (Plainfield, MA)",7,20
"Z01071 (Russell, MA)",20,80
"Z01072 (Shutesbury, MA)",19,55
"Z01073 (Southampton, MA)",123,1017
"Z01074 (South Barre, MA)",9,69
"Z01075 (South Hadley, MA)",304,4791
"Z01077 (Southwick, MA)",216,1937
"Z01079 (Thorndike, MA)",11,72
"Z01080 (Three Rivers, MA)",40,351
"Z01081 (Wales, MA)",14,49
"Z01082 (Ware, MA)",164,2291
"Z01083 (Warren, MA)",32,245
"Z01084 (West Chesterfield, MA)",4,22
"Z01085 (Westfield, MA)",865,13404
"Z01086 (Westfield, MA)",17,774
"Z01088 (West Hatfield, MA)",28,324
"Z01089 (West Springfield, MA)",982,15984
"Z01090 (West Springfield, MA)",14,92
"Z01092 (West Warren, MA)",18,87
"Z01093 (Whately, MA)",32,820
"Z01094 (Wheelwright, MA)",2,a
"Z01095 (Wilbraham, MA)",299,4113
"Z01096 (Williamsburg, MA)",51,400
"Z01098 (Worthington, MA)",20,104
"Z01101 (Springfield, MA)",23,783
"Z01102 (Springfield, MA)",19,3024
"Z01103 (Springfield, MA)",463,6547
"Z01104 (Springfield, MA)",515,13689
"Z01105 (Springfield, MA)",270,6093
"Z01106 (Longmeadow, MA)",279,3817
"Z01107 (Springfield, MA)",149,2398
"Z01108 (Springfield, MA)",270,2452
"Z01109 (Springfield, MA)",283,7545
"Z01111 (Springfield, MA)",11,h
"Z01115 (Springfield, MA)",45,834
"Z01116 (Longmeadow, MA)",4,36
"Z01118 (Springfield, MA)",129,1501
"Z01119 (Springfield, MA)",141,3895
"Z01128 (Springfield, MA)",52,863
"Z01129 (Springfield, MA)",162,2657
"Z01138 (Springfield, MA)",8,19
"Z01139 (Springfield, MA)",2,c
"Z01144 (Springfield, MA)",47,1204
"Z01151 (Indian Orchard, MA)",145,1739
"Z01152 (Springfield, MA)",2,a
"Z01199 (Springfield, MA)",3,i
"Z01201 (Pittsfield, MA)",1294,23192
"Z01202 (Pittsfield, MA)",26,378
"Z01203 (Pittsfield, MA)",1,a
"Z01220 (Adams, MA)",153,1593
"Z01222 (Ashley Falls, MA)",15,45
"Z01223 (Becket, MA)",38,234
"Z01224 (Berkshire, MA)",4,23
"Z01225 (Cheshire, MA)",54,366
"Z01226 (Dalton, MA)",114,1257
"Z01227 (Dalton, MA)",6,52
"Z01229 (Glendale, MA)",3,12
"Z01230 (Great Barrington, MA)",409,5045
