Zip_Code,Pct_HS_Grad
Z00601,62.8
Z00602,63.5
Z00603,69.6
Z00606,55.5
Z00610,67.4
Z00612,74.3
Z00616,70.6
Z00617,71.3
Z00622,69
Z00623,70.5
Z00624,68.9
Z00627,68.6
Z00631,54.2
Z00637,71
Z00638,64.3
Z00641,68
Z00646,76.2
Z00647,65.2
Z00650,72.6
Z00652,68.2
Z00653,66.9
Z00656,70.4
Z00659,66.7
Z00660,72
Z00662,69.3
Z00664,70.4
Z00667,60.3
Z00669,60.1
Z00670,53.1
Z00674,70.8
Z00676,66.2
Z00677,64.6
Z00678,70.2
Z00680,67.6
Z00682,72.8
Z00683,69.8
Z00685,59.6
Z00687,66.9
Z00688,67.9
Z00690,70.6
Z00692,65.9
Z00693,56.1
Z00694,36.4
Z00698,67.3
Z00703,64.1
Z00704,69.5
Z00705,73.1
Z00707,63.7
Z00714,74.7
Z00715,54.9
Z00716,78
Z00717,79.1
Z00718,68.5
Z00719,69.5
Z00720,62.1
Z00723,67.4
Z00725,76.6
Z00727,79.9
Z00728,76
Z00729,72.9
Z00730,71.7
Z00731,67.3
Z00735,75.4
Z00736,72.2
Z00738,78.3
Z00739,76.5
Z00740,72.6
Z00741,77.2
Z00745,74.4
Z00751,70.5
Z00754,67
Z00757,75.2
Z00765,66.3
Z00766,68.1
Z00767,65.8
Z00769,71.6
Z00771,75
Z00772,70.8
Z00773,74.8
Z00775,60.5
Z00777,76.1
Z00778,78
Z00780,75
Z00782,62.9
Z00783,68.3
Z00784,74.4
Z00786,69.4
Z00791,74
Z00794,69.7
Z00795,71.8
Z00901,75.5
Z00906,100
Z00907,82.3
Z00909,76.1
Z00911,85.2
Z00912,75.6
Z00913,70.1
Z00915,59
Z00917,67.5
Z00918,85
Z00920,78.6
Z00921,77.4
Z00923,68.1
Z00924,76
Z00925,65.5
Z00926,85
Z00927,92.3
Z00934,100
Z00936,55.1
Z00949,79.4
Z00950,-
Z00951,53.3
Z00952,70.9
Z00953,78.6
Z00956,74.9
Z00957,77.4
Z00959,84.3
Z00960,54
Z00961,79.7
Z00962,70.3
Z00965,65.5
Z00966,92.6
Z00968,95
Z00969,91.5
Z00971,69.2
Z00976,82
Z00979,88
Z00982,79.9
Z00983,83
Z00985,79.9
Z00987,82.1
Z01001,91.5
Z01002,95.6
Z01003,84
Z01005,95.7
Z01007,92.4
Z01008,95.8
Z01009,78.2
Z01010,94
Z01011,91.8
Z01012,96.2
Z01013,81
Z01020,87.1
Z01022,95.4
Z01026,97.2
Z01027,94.8
Z01028,94.5
Z01029,94
Z01030,93.8
Z01031,90.4
Z01032,94.6
Z01033,93.5
Z01034,94.5
Z01035,96.1
