Zip_Code,Housing_Units
Z00601,7318
Z00602,17220
Z00603,24596
Z00606,2630
Z00610,12159
Z00612,29848
Z00616,4654
Z00617,9863
Z00622,8565
Z00623,21096
Z00624,9529
Z00627,14076
Z00631,791
Z00637,10701
Z00638,7536
Z00641,12604
Z00646,15924
Z00647,3477
Z00650,5730
Z00652,1826
Z00653,5863
Z00656,8423
Z00659,16821
Z00660,7559
Z00662,19518
Z00664,6295
Z00667,12213
Z00669,11686
Z00670,3925
Z00674,18935
Z00676,15772
Z00677,9538
Z00678,11087
Z00680,26986
Z00682,15155
Z00683,14893
Z00685,17751
Z00687,11612
Z00688,5061
Z00690,2779
Z00692,15203
Z00693,25236
Z00694,181
Z00698,17092
Z00703,10872
Z00704,3911
Z00705,9850
Z00707,5286
Z00714,8548
Z00715,1477
Z00716,13822
Z00717,9044
Z00718,11476
Z00719,10926
Z00720,8361
Z00723,8838
Z00725,37012
Z00727,23106
Z00728,16142
Z00729,20050
Z00730,15628
Z00731,5576
Z00735,7502
Z00736,21223
Z00738,17745
Z00739,14792
Z00740,896
Z00741,2086
Z00745,23520
Z00751,10451
Z00754,16436
Z00757,9316
Z00765,4964
Z00766,9354
Z00767,14765
Z00769,16258
Z00771,15537
Z00772,9258
Z00773,10471
Z00775,1459
Z00777,15989
Z00778,17486
Z00780,5153
Z00782,7171
Z00783,12923
Z00784,18170
Z00786,172
Z00791,24585
Z00794,11211
Z00795,18248
Z00901,4534
Z00906,163
Z00907,13149
Z00909,3490
Z00911,5752
Z00912,3566
Z00913,4120
Z00915,15419
Z00917,11348
Z00918,10360
Z00920,9294
Z00921,17341
Z00923,13486
Z00924,24291
Z00925,4917
Z00926,45881
Z00927,7615
Z00934,100
Z00936,13
Z00949,31733
Z00950,0
Z00951,23
Z00952,3936
Z00953,25240
Z00956,31246
Z00957,18242
Z00959,21962
Z00960,0
Z00961,13271
Z00962,8497
Z00965,3672
Z00966,7321
Z00968,2305
Z00969,17573
Z00971,12091
Z00976,25512
Z00979,12536
Z00982,7001
Z00983,16836
Z00985,14812
Z00987,24297
Z01001,7452
Z01002,10483
Z01003,29
Z01005,2164
Z01007,5932
Z01008,596
Z01009,230
Z01010,1641
Z01011,688
Z01012,331
Z01013,10065
Z01020,13298
Z01022,1435
Z01026,501
Z01027,8355
Z01028,6291
Z01029,1113
Z01030,4462
Z01031,696
Z01032,369
Z01033,2457
Z01034,1170
Z01035,2483
Z01036,1972
Z01037,284
Z01038,1310
Z01039,638
Z01040,16776
Z01050,1208
Z01053,592
Z01054,856
Z01056,8539
Z01057,3739
Z01060,6927
Z01062,4654
Z01063,0
Z01066,10
Z01068,691
Z01069,3842
Z01070,310
Z01071,584
Z01072,754
Z01073,2532
Z01074,103
Z01075,7258
Z01077,3898
Z01079,297
Z01080,1044
Z01081,836
Z01082,4675
Z01083,1315
Z01084,95
Z01085,16358
Z01086,0
Z01088,303
Z01089,12174
Z01092,614
Z01093,143
Z01094,198
Z01095,5591
Z01096,1076
Z01097,10
Z01098,629
Z01103,1708
Z01104,9437
Z01105,5733
Z01106,6051
Z01107,4284
Z01108,10846
Z01109,10790
Z01118,5928
Z01119,4938
Z01128,1016
Z01129,3117
Z01151,3701
Z01199,0
Z01201,21831
Z01220,4354
Z01222,345
Z01223,2064
Z01224,86
Z01225,1555
Z01226,3186
Z01229,91
Z01230,4388
Z01235,1602
Z01236,660
Z01237,1518
Z01238,3248
Z01240,2916
Z01242,179
Z01243,210
Z01244,99
Z01245,859
Z01247,8135
Z01253,525
Z01254,587
Z01255,698
Z01256,359
Z01257,1229
Z01258,348
Z01259,438
Z01260,154
Z01262,991
Z01264,137
Z01266,1125
Z01267,3085
Z01270,446
Z01301,8399
Z01330,808
Z01331,6302
Z01337,1195
Z01338,100
Z01339,798
Z01340,944
Z01341,795
Z01342,503
Z01343,34
Z01344,675
Z01346,414
Z01347,66
Z01349,501
Z01350,61
Z01351,993
Z01354,622
Z01355,426
Z01360,1388
Z01364,3704
Z01366,563
Z01367,318
Z01368,608
Z01370,1964
Z01373,2129
Z01375,1574
Z01376,2469
Z01378,476
Z01379,396
Z01420,17031
Z01430,2748
Z01431,1130
Z01432,3537
Z01434,160
Z01436,1328
Z01438,233
Z01440,9183
Z01450,4243
Z01451,1683
Z01452,1751
Z01453,17847
Z01460,3691
Z01462,4567
Z01463,4451
Z01464,2462
Z01467,153
Z01468,1876
Z01469,2648
Z01473,3051
Z01474,856
Z01475,4511
Z01501,6616
Z01503,1163
Z01504,3628
Z01505,1751
Z01506,1514
Z01507,4913
Z01510,6211
Z01515,895
Z01516,3290
Z01518,1364
Z01519,2416
Z01520,5513
Z01521,1443
Z01522,1245
Z01523,2389
Z01524,2802
Z01525,73
Z01527,5487
Z01529,1127
Z01531,423
Z01532,5253
Z01534,2323
Z01535,2204
Z01536,2966
Z01537,932
Z01540,4444
Z01541,1307
Z01542,798
Z01543,3194
Z01545,13758
Z01550,7466
Z01560,1901
Z01561,96
Z01562,5281
Z01564,2821
Z01566,2624
Z01568,2912
Z01569,5006
Z01570,7653
Z01571,4384
Z01581,7337
Z01583,2240
Z01585,2072
Z01588,4003
Z01590,3372
Z01602,9655
Z01603,7900
Z01604,15438
Z01605,11651
Z01606,8439
Z01607,4154
Z01608,1725
Z01609,8170
Z01610,8759
Z01611,1011
Z01612,1579
Z01701,12680
