State,Median_Income
Alabama,43623
Alaska,72515
Arizona,50255
Arkansas,41371
California,61818
Colorado,60629
Connecticut,70331
Delaware,60509
District of Columbia,70848
Florida,47507
Georgia,49620
Hawaii,69515
Idaho,47583
Illinois,57574
Indiana,49255
Iowa,53183
Kansas,52205
Kentucky,43740
Louisiana,45047
Maine,49331
Maryland,74551
Massachusetts,68563
Michigan,49576
Minnesota,61492
Mississippi,39665
Missouri,48173
Montana,47169
Nebraska,52997
Nevada,51847
New Hampshire,66779
New Jersey,72093
New Mexico,44963
New York,59269
North Carolina,46868
North Dakota,57181
Ohio,49429
Oklahoma,46879
Oregon,51243
Pennsylvania,53599
Rhode Island,56852
South Carolina,45483
South Dakota,50957
Tennessee,45219
Texas,53207
Utah,60727
Vermont,55176
Virginia,65015
Washington,61062
West Virginia,41751
Wisconsin,53357
Wyoming,58840
Puerto Rico,19350
