Zip_Code,Median_Income
Z00601,10816
Z00602,16079
Z00603,16804
Z00606,12512
Z00610,17475
Z00612,17229
Z00616,13705
Z00617,15361
Z00622,15689
Z00623,16593
Z00624,15573
Z00627,17532
Z00631,7854
Z00637,14767
Z00638,12722
Z00641,16022
Z00646,26861
Z00647,13764
Z00650,14611
Z00652,17500
Z00653,13593
Z00656,15037
Z00659,18687
Z00660,20598
Z00662,16016
Z00664,15922
Z00667,13222
Z00669,12009
Z00670,14031
Z00674,18135
Z00676,14374
Z00677,16792
Z00678,15347
Z00680,14567
Z00682,15363
Z00683,14913
Z00685,14343
Z00687,16536
Z00688,14213
Z00690,20274
Z00692,17987
Z00693,17156
Z00694,11198
Z00698,14766
Z00703,14680
Z00704,13756
Z00705,17238
Z00707,19541
Z00714,15349
Z00715,12027
Z00716,18331
Z00717,11664
Z00718,18614
Z00719,17686
Z00720,14144
Z00723,13284
Z00725,19961
Z00727,29995
Z00728,16949
Z00729,20574
Z00730,15097
Z00731,15141
Z00735,20925
Z00736,20760
Z00738,19708
Z00739,23266
Z00740,13750
Z00741,21690
Z00745,22577
Z00751,15091
Z00754,16571
Z00757,15674
Z00765,17934
Z00766,17611
Z00767,15666
Z00769,18390
Z00771,18827
Z00772,16734
Z00773,18170
Z00775,18547
Z00777,19229
Z00778,29317
Z00780,22090
Z00782,12757
Z00783,14863
Z00784,16141
Z00786,17039
Z00791,19175
Z00794,14238
Z00795,18863
Z00901,16870
Z00906,34625
Z00907,29758
Z00909,15540
Z00911,30877
Z00912,18473
Z00913,6478
Z00915,13332
Z00917,14371
Z00918,22405
Z00920,25000
Z00921,18272
Z00923,14773
Z00924,18543
Z00925,10332
Z00926,32636
Z00927,30507
Z00934,65938
Z00936,-
Z00949,24400
Z00950,-
Z00951,-
Z00952,17697
Z00953,30278
Z00956,22411
Z00957,23353
Z00959,27478
Z00960,-
Z00961,29180
Z00962,16035
Z00965,16333
Z00966,50772
Z00968,46206
Z00969,52970
Z00971,21854
Z00976,29368
Z00979,36592
Z00982,25557
Z00983,26695
Z00985,22995
Z00987,31698
Z01001,60161
Z01002,50540
Z01003,(X)
Z01005,68786
Z01007,76881
Z01008,70417
Z01009,40833
Z01010,87961
Z01011,68000
Z01012,57019
Z01013,40774
Z01020,55665
Z01022,51500
Z01026,50625
Z01027,58324
Z01028,81655
Z01029,44545
Z01030,63026
Z01031,39750
Z01032,65625
Z01033,87222
Z01034,81688
Z01035,65625
Z01036,81018
Z01037,89118
Z01038,66607
Z01039,71167
Z01040,36608
Z01050,62446
Z01053,59948
Z01054,83333
Z01056,63548
Z01057,68156
Z01060,51651
Z01062,67939
Z01063,-
Z01066,-
Z01068,80313
Z01069,54141
Z01070,55938
Z01071,73611
Z01072,69250
Z01073,79858
Z01074,58713
Z01075,60248
Z01077,80444
Z01079,42845
Z01080,42946
Z01081,50393
Z01082,49500
Z01083,41600
Z01084,49444
Z01085,61546
Z01086,-
Z01088,61750
Z01089,54585
Z01092,56111
Z01093,82125
Z01094,17708
Z01095,90307
Z01096,70980
Z01097,-
Z01098,72917
Z01103,15558
Z01104,28858
Z01105,16845
Z01106,109804
Z01107,22288
Z01108,35119
Z01109,33797
Z01118,59232
Z01119,47702
Z01128,69145
Z01129,60992
Z01151,33419
Z01199,-
Z01201,44509
Z01220,46210
Z01222,78208
Z01223,66012
Z01224,36384
Z01225,55750
Z01226,47324
Z01229,29886
Z01230,56933
Z01235,63182
Z01236,70135
Z01237,73659
Z01238,59921
Z01240,49149
Z01242,54120
Z01243,73750
Z01244,(X)
Z01245,54297
Z01247,40465
Z01253,68846
Z01254,86944
Z01255,58906
Z01256,53036
Z01257,47167
Z01258,66198
Z01259,63750
Z01260,74844
Z01262,41400
Z01264,76250
Z01266,79188
Z01267,73112
Z01270,71250
Z01301,49778
Z01330,75417
Z01331,51849
Z01337,62965
Z01338,71375
Z01339,54938
Z01340,50250
Z01341,77778
Z01342,101598
Z01343,82344
Z01344,58125
Z01346,56250
Z01347,38696
Z01349,61957
Z01350,33750
Z01351,73051
Z01354,73750
Z01355,65682
Z01360,63491
Z01364,39273
Z01366,63625
Z01367,52875
Z01368,57841
Z01370,55076
Z01373,67561
Z01375,47688
Z01376,41864
