Zip_Code,Pop_2011_2015
Z00601,17982
Z00602,40260
Z00603,52408
Z00606,6331
Z00610,28328
Z00612,64816
Z00616,10707
Z00617,24793
Z00622,7425
Z00623,42955
Z00624,24628
Z00627,33949
Z00631,1664
Z00637,24398
Z00638,18084
Z00641,29516
Z00646,38396
Z00647,5740
Z00650,14738
Z00652,3800
Z00653,12514
Z00656,20414
Z00659,41578
Z00660,16845
Z00662,42499
Z00664,15974
Z00667,24968
Z00669,27703
Z00670,9333
Z00674,42358
Z00676,38999
Z00677,14855
Z00678,26815
Z00680,52431
Z00682,32431
Z00683,32569
Z00685,40800
Z00687,32294
Z00688,12870
Z00690,5565
Z00692,36777
Z00693,58615
Z00694,77
Z00698,39395
Z00703,28165
Z00704,8007
Z00705,24717
Z00707,11701
Z00714,18988
Z00715,3586
Z00716,30876
Z00717,17704
Z00718,26547
Z00719,30588
Z00720,22676
Z00723,18441
Z00725,86276
Z00727,56503
Z00728,41337
Z00729,53439
Z00730,34965
Z00731,14382
Z00735,13063
Z00736,50335
Z00738,33205
Z00739,37970
Z00740,1515
Z00741,5514
Z00745,53797
Z00751,22777
Z00754,39651
Z00757,22913
Z00765,8993
Z00766,24875
Z00767,36340
Z00769,39670
Z00771,38340
Z00772,21478
Z00773,19497
Z00775,1554
Z00777,40570
Z00778,46765
Z00780,13016
Z00782,18530
Z00783,35151
Z00784,42625
Z00786,288
Z00791,50809
Z00794,30215
Z00795,46450
Z00901,6132
Z00906,73
Z00907,17382
Z00909,5616
Z00911,7444
Z00912,5979
Z00913,8122
Z00915,29387
Z00917,19086
Z00918,16552
Z00920,17995
Z00921,37696
Z00923,26591
Z00924,54584
Z00925,6899
Z00926,104645
Z00927,14447
Z00934,67
Z00936,731
Z00949,78552
Z00950,0
Z00951,15
Z00952,9363
Z00953,73099
Z00956,74529
Z00957,43336
Z00959,48168
Z00960,2355
Z00961,30978
Z00962,20975
Z00965,8483
Z00966,16058
Z00968,3492
Z00969,43021
Z00971,29095
Z00976,61762
Z00979,15234
Z00982,15029
Z00983,39407
Z00985,33653
Z00987,60377
Z01001,17438
Z01002,29780
Z01003,11241
Z01005,5201
Z01007,14838
Z01008,1171
Z01009,429
Z01010,3695
Z01011,1506
Z01012,539
Z01013,22394
Z01020,30952
Z01022,2840
Z01026,1036
Z01027,17787
Z01028,16017
Z01029,717
Z01030,11250
Z01031,1369
Z01032,611
Z01033,6304
Z01034,2190
Z01035,5324
Z01036,5179
Z01037,731
Z01038,2794
Z01039,1236
Z01040,40342
Z01050,2513
Z01053,1772
Z01054,1993
Z01056,21348
Z01057,8712
Z01060,15229
Z01062,11029
Z01063,572
Z01066,10
Z01068,1803
Z01069,8976
Z01070,565
Z01071,1318
Z01072,1465
Z01073,6022
Z01074,247
Z01075,17781
Z01077,9640
Z01079,593
Z01080,2286
Z01081,1720
Z01082,10460
Z01083,2960
Z01084,155
Z01085,41509
Z01086,685
Z01088,493
Z01089,28600
Z01092,1291
Z01093,307
Z01094,336
Z01095,14514
Z01096,2494
Z01097,31
Z01098,1149
Z01103,2564
Z01104,23485
Z01105,12027
Z01106,16007
Z01107,11224
Z01108,27342
Z01109,30541
Z01118,14453
Z01119,13269
Z01128,2498
Z01129,7377
Z01151,9037
Z01199,0
Z01201,45328
Z01220,8391
Z01222,812
Z01223,2294
Z01224,138
Z01225,3124
Z01226,6892
Z01229,114
Z01230,8048
Z01235,2866
Z01236,1538
Z01237,2841
Z01238,5950
Z01240,4603
Z01242,394
Z01243,374
Z01244,115
Z01245,950
Z01247,15737
Z01253,708
Z01254,954
Z01255,852
Z01256,796
Z01257,2203
Z01258,334
Z01259,563
Z01260,485
Z01262,1239
Z01264,153
Z01266,1430
Z01267,7884
Z01270,789
Z01301,17766
Z01330,1432
Z01331,13290
Z01337,2593
Z01338,196
Z01339,1378
Z01340,1686
Z01341,1711
Z01342,1616
Z01343,46
Z01344,1559
Z01346,496
Z01347,143
Z01349,1078
Z01350,104
Z01351,2212
Z01354,1641
Z01355,925
Z01360,3022
Z01364,7880
Z01366,1167
Z01367,666
Z01368,1336
Z01370,3990
Z01373,4355
Z01375,3680
Z01376,5275
Z01378,726
Z01379,843
Z01420,40462
Z01430,6160
Z01431,3177
Z01432,7489
Z01434,1658
Z01436,3897
Z01438,553
Z01440,20320
Z01450,11120
Z01451,4758
Z01452,4474
Z01453,41206
Z01460,9359
Z01462,11029
Z01463,11953
Z01464,7436
Z01467,472
Z01468,3717
Z01469,7348
Z01473,7414
Z01474,1934
Z01475,10542
Z01501,16208
Z01503,2957
Z01504,9078
Z01505,4432
Z01506,3405
Z01507,13215
Z01510,13727
Z01515,2198
Z01516,8650
Z01518,2951
Z01519,6301
Z01520,14929
Z01521,2498
Z01522,3089
Z01523,7877
Z01524,6827
Z01525,138
Z01527,13391
Z01529,3208
Z01531,1133
Z01532,14814
Z01534,6378
Z01535,4734
Z01536,7634
Z01537,2444
Z01540,11112
Z01541,3456
Z01542,2110
Z01543,8316
Z01545,35963
Z01550,16802
Z01560,4558
Z01561,141
Z01562,11773
Z01564,7896
Z01566,6469
Z01568,7468
Z01569,13828
Z01570,16827
Z01571,11515
Z01581,18611
Z01583,7442
Z01585,4664
Z01588,9668
Z01590,9080
Z01602,23709
Z01603,20053
Z01604,35441
Z01605,28242
Z01606,19209
Z01607,9288
Z01608,3275
Z01609,20916
Z01610,23912
Z01611,2548
Z01612,4895
Z01701,31949
Z01702,38573
Z01718,415
Z01719,5137
Z01720,22436
Z01721,17159
Z01730,13847
Z01731,2082
Z01740,5067
Z01741,5074
Z01742,19345
Z01745,373
Z01746,14197
Z01747,5942
Z01748,15925
Z01749,19602
Z01752,39425
Z01754,10459
Z01756,5938
Z01757,28543
Z01760,34683
Z01770,4245
Z01772,9536
Z01773,5262
Z01775,6957
Z01776,18397
Z01778,13562
Z01801,39609
Z01803,25467
Z01810,34616
Z01821,31607
Z01824,25669
Z01826,30633
Z01827,3343
Z01830,26499
Z01832,22397
Z01833,8441
Z01834,6646
Z01835,13183
Z01840,5165
Z01841,48242
Z01843,25397
Z01844,48607
Z01845,29271
Z01850,16006
Z01851,30022
Z01852,33822
Z01854,29557
Z01860,6601
Z01862,10985
Z01863,9088
Z01864,15396
Z01867,24852
Z01876,29479
Z01879,12053
Z01880,25819
Z01886,23232
Z01887,23141
Z01890,22075
Z01901,1371
Z01902,47052
Z01904,17521
Z01905,25668
Z01906,27620
Z01907,14217
Z01908,3454
Z01913,16907
Z01915,40670
Z01921,8138
Z01922,2803
Z01923,27266
Z01929,3608
Z01930,29399
Z01937,134
Z01938,13616
Z01940,12944
Z01944,5286
Z01945,20270
Z01949,9436
Z01950,17766
Z01951,4051
Z01952,8672
Z01960,51729
Z01966,7111
Z01969,6081
Z01970,42332
Z01982,8102
Z01983,6379
Z01984,5092
Z01985,4427
Z02019,16682
Z02021,22276
Z02025,8281
Z02026,25224
Z02030,5814
Z02032,4080
Z02035,17243
Z02038,32731
Z02043,22733
Z02045,10403
Z02047,151
Z02048,23482
Z02050,25786
Z02052,12368
Z02053,13069
Z02054,8051
Z02056,11427
Z02061,10740
Z02062,28962
Z02066,17880
Z02067,17837
Z02071,1837
Z02072,28110
Z02081,19270
Z02090,15094
Z02093,11287
Z02108,4183
Z02109,3947
Z02110,2048
Z02111,7537
Z02113,7221
Z02114,12882
Z02115,28536
Z02116,22433
Z02118,27526
Z02119,26259
Z02120,15500
Z02121,28051
Z02122,24880
Z02124,53227
Z02125,35379
Z02126,27835
Z02127,36494
Z02128,44989
Z02129,18058
Z02130,39257
Z02131,31890
Z02132,28506
Z02134,18238
Z02135,38682
Z02136,31052
Z02138,37252
Z02139,36422
Z02140,18384
Z02141,13055
Z02142,2935
Z02143,26267
Z02144,24930
Z02145,25291
Z02148,60725
Z02149,43717
Z02150,37567
Z02151,53109
Z02152,17962
Z02155,59166
Z02163,2361
Z02169,55706
Z02170,19860
Z02171,17611
Z02176,27681
Z02180,21752
Z02184,36905
Z02186,27303
Z02188,14911
Z02189,15161
Z02190,16880
Z02191,8352
Z02199,1173
Z02203,0
Z02210,2179
Z02215,24521
Z02301,59775
Z02302,34757
Z02322,4453
Z02324,27243
Z02330,11562
Z02332,15297
Z02333,14113
Z02338,7684
Z02339,14226
Z02341,10372
Z02343,10975
Z02346,23708
Z02347,11098
Z02351,16112
Z02356,12690
Z02357,1282
Z02359,18081
Z02360,57658
Z02364,12958
Z02366,190
Z02367,2868
Z02368,33409
Z02370,17663
Z02375,9611
Z02379,7008
Z02382,14715
Z02420,14414
Z02421,18286
Z02445,20785
Z02446,29099
Z02451,18140
Z02452,15232
Z02453,29066
Z02457,1642
Z02458,12781
Z02459,19104
Z02460,9477
Z02461,7278
Z02462,1389
Z02464,2901
Z02465,11618
Z02466,8572
Z02467,23520
Z02468,5713
Z02472,33350
Z02474,27346
Z02476,16782
Z02478,25337
Z02481,16342
Z02482,10848
Z02492,20067
Z02493,11850
Z02494,9786
Z02532,11972
Z02534,913
Z02535,1511
Z02536,19344
Z02537,6500
Z02538,3009
Z02539,4217
Z02540,8526
Z02542,869
Z02543,843
Z02553,237
Z02554,10287
Z02556,2852
Z02557,4626
Z02558,1322
Z02559,4366
Z02561,478
Z02562,3139
Z02563,9721
Z02564,260
Z02568,4055
Z02571,11229
Z02575,2564
Z02576,4763
Z02584,9
Z02601,14371
Z02630,2224
Z02631,9761
Z02632,10454
Z02633,3849
Z02635,3435
Z02637,117
Z02638,3489
Z02639,2550
Z02641,265
Z02642,4896
Z02643,9
Z02644,4347
Z02645,9354
Z02646,2057
Z02647,113
Z02648,6413
Z02649,14027
Z02650,1222
Z02651,27
Z02652,886
Z02653,5904
Z02655,3584
Z02657,2962
Z02659,801
Z02660,6381
Z02663,125
Z02664,9407
Z02666,758
Z02667,2984
Z02668,3192
Z02669,254
Z02670,1362
Z02671,851
Z02672,155
Z02673,8297
Z02675,6410
Z02702,4730
Z02703,43953
Z02713,60
Z02715,3269
Z02717,4301
Z02718,6275
Z02719,16027
Z02720,30546
Z02721,25926
Z02723,14333
Z02724,17173
Z02725,2399
Z02726,15872
Z02738,4979
Z02739,6176
Z02740,43797
Z02743,10384
Z02744,11210
Z02745,24731
Z02746,14850
Z02747,23024
Z02748,12032
Z02760,26986
Z02762,8735
Z02763,1877
Z02764,3962
Z02766,19362
Z02767,13765
Z02769,11835
Z02770,5150
Z02771,14371
Z02777,16132
Z02779,6547
Z02780,49836
Z02790,16016
Z02791,177
Z02802,1079
Z02804,2228
Z02806,16280
Z02807,906
Z02808,2228
Z02809,22364
Z02812,1669
Z02813,7772
Z02814,7328
Z02815,130
Z02816,32695
Z02817,6117
Z02818,18065
Z02822,6470
Z02825,5235
Z02826,690
Z02827,2033
Z02828,7492
Z02830,6314
Z02831,3191
Z02832,5006
Z02833,625
Z02835,5464
Z02836,93
Z02837,3504
Z02838,3878
Z02839,1445
Z02840,23171
Z02841,1293
Z02842,16052
Z02852,22358
Z02857,9672
Z02858,662
Z02859,7059
Z02860,45372
Z02861,26225
Z02863,19378
Z02864,34003
Z02865,16513
Z02871,17127
Z02872,234
Z02873,218
Z02874,6621
Z02875,426
Z02876,251
Z02878,15818
Z02879,20358
Z02881,7969
Z02882,13448
Z02885,10532
Z02886,28330
Z02888,20010
Z02889,27915
Z02891,21415
Z02892,4434
Z02893,29561
Z02894,755
Z02895,41213
Z02896,11908
Z02898,1406
Z02903,10440
Z02904,29467
Z02905,25635
Z02906,28648
Z02907,27568
Z02908,38132
Z02909,43243
Z02910,20613
Z02911,15754
Z02912,1538
Z02914,21971
Z02915,16515
Z02916,8656
Z02917,14017
Z02919,29122
Z02920,38117
Z02921,12217
Z03031,11291
Z03032,5141
Z03033,5100
Z03034,3948
Z03036,4825
Z03037,4314
Z03038,33561
Z03042,6636
Z03043,1482
Z03044,4319
Z03045,13634
Z03046,2791
Z03047,1641
Z03048,3411
Z03049,7733
Z03051,24780
Z03052,8268
Z03053,24237
Z03054,25595
Z03055,15150
Z03057,2704
Z03060,29886
Z03062,26885
Z03063,16026
Z03064,14313
Z03070,5342
Z03071,5157
Z03076,13113
Z03077,10375
Z03079,28853
Z03082,1664
Z03084,1489
Z03086,3757
Z03087,14104
Z03101,2722
Z03102,31433
Z03103,37219
Z03104,32832
Z03106,13765
Z03109,10202
Z03110,21659
Z03215,214
Z03216,2318
Z03217,2196
Z03218,1097
Z03220,7370
Z03221,2310
Z03222,5656
Z03223,3366
Z03224,2223
Z03225,3505
Z03226,1057
Z03227,1223
Z03229,5602
Z03230,1247
Z03231,223
Z03233,134
Z03234,4666
Z03235,8564
Z03237,2046
Z03238,105
Z03240,1192
Z03241,909
Z03242,4849
Z03243,1173
Z03244,8058
Z03245,2050
Z03246,16075
Z03249,7140
Z03251,1345
Z03253,6284
Z03254,4040
Z03255,1865
Z03256,2253
Z03257,4712
Z03258,2514
Z03259,336
Z03260,789
Z03261,4281
Z03262,969
Z03263,4084
Z03264,7370
Z03266,2280
Z03268,1237
Z03269,2981
Z03273,293
Z03275,11422
Z03276,8350
Z03278,2912
Z03279,768
Z03280,1104
Z03281,8883
Z03282,937
Z03284,1026
Z03285,2104
Z03287,1423
Z03290,4801
Z03291,26
Z03293,85
Z03301,32225
Z03303,16049
Z03304,7645
Z03307,5352
Z03431,25487
Z03440,2671
Z03441,605
Z03442,1424
Z03443,861
Z03444,1569
Z03445,672
Z03446,6149
Z03447,2507
Z03448,671
Z03449,1755
Z03450,933
Z03451,4011
Z03452,5371
Z03455,1801
Z03456,764
Z03457,671
Z03458,6771
Z03461,5907
Z03462,1681
Z03464,1127
Z03465,2352
Z03466,1075
Z03467,1877
Z03470,4674
Z03561,5943
Z03570,9580
Z03574,2551
Z03575,126
Z03576,3128
Z03579,464
Z03580,1359
Z03581,3110
Z03582,2542
Z03583,933
Z03584,3735
Z03585,2651
Z03586,648
Z03588,1665
Z03590,880
Z03592,1099
Z03593,371
Z03595,820
Z03597,374
Z03598,3112
Z03601,528
Z03602,2774
Z03603,5315
Z03604,379
Z03605,977
Z03607,384
Z03608,2299
Z03609,1033
Z03740,710
Z03741,4177
Z03743,13765
Z03745,1449
Z03746,221
Z03748,4593
Z03750,1187
Z03751,594
Z03752,770
Z03753,2966
Z03754,204
