Zip_Code,All_Vacancy,Seasonal
Z00601,1346,397
Z00602,4252,1473
Z00603,5922,1146
Z00606,715,82
Z00610,2755,694
Z00612,6877,1238
Z00616,1018,83
Z00617,1511,290
Z00622,6008,5499
Z00623,6538,3441
Z00624,1313,205
Z00627,2142,357
Z00631,134,40
Z00637,3613,144
Z00638,1518,231
Z00641,3064,571
Z00646,3564,1374
Z00647,1686,254
Z00650,713,87
Z00652,436,73
Z00653,2199,111
Z00656,1811,195
Z00659,2484,464
Z00660,1141,198
Z00662,4898,1300
Z00664,1449,283
Z00667,3719,1610
Z00669,1951,450
Z00670,762,196
Z00674,2845,426
Z00676,3416,1230
Z00677,4087,2009
Z00678,1503,401
Z00680,7634,541
Z00682,3519,390
Z00683,2972,442
Z00685,3957,884
Z00687,1824,551
Z00688,858,141
Z00690,632,111
Z00692,3400,1035
Z00693,7399,2077
Z00694,132,51
Z00698,6670,279
Z00703,1904,163
Z00704,887,143
Z00705,1236,144
Z00707,1200,350
Z00714,2283,507
Z00715,214,0
Z00716,2059,244
Z00717,2049,291
Z00718,2758,862
Z00719,2089,368
Z00720,1540,513
Z00723,2402,396
Z00725,5457,532
Z00727,2545,185
Z00728,2450,406
Z00729,3439,597
Z00730,3046,207
Z00731,811,182
Z00735,2839,814
Z00736,3594,741
Z00738,5551,2827
Z00739,2171,491
Z00740,331,89
Z00741,447,148
Z00745,6467,3298
Z00751,2102,599
Z00754,2841,382
Z00757,1589,486
Z00765,2253,1248
Z00766,1260,260
Z00767,2560,311
Z00769,2765,826
Z00771,2732,199
Z00772,2429,945
Z00773,3683,2225
Z00775,944,636
Z00777,2883,291
Z00778,2180,164
Z00780,745,74
Z00782,1180,247
Z00783,2060,508
Z00784,3417,829
Z00786,42,0
Z00791,7695,3364
Z00794,1787,340
Z00795,2412,342
Z00901,1922,602
Z00906,112,20
Z00907,4630,1148
Z00909,916,73
Z00911,1932,371
Z00912,1129,122
Z00913,853,155
Z00915,3841,247
Z00917,3187,322
Z00918,2430,632
Z00920,2016,194
Z00921,3185,207
Z00923,2936,198
Z00924,4401,372
Z00925,1941,126
Z00926,7862,878
Z00927,1690,130
Z00934,53,0
Z00936,13,0
Z00949,5040,807
Z00950,0,0
Z00951,8,0
Z00952,823,201
Z00953,3050,434
Z00956,4822,818
Z00957,2913,622
Z00959,3190,398
Z00960,0,0
Z00961,1811,431
Z00962,1163,57
Z00965,698,37
Z00966,941,115
Z00968,420,85
Z00969,1902,192
Z00971,1757,306
Z00976,3925,510
Z00979,4785,2611
Z00982,1151,56
Z00983,2117,137
Z00985,1952,160
Z00987,2853,317
Z01001,349,71
Z01002,942,183
Z01003,0,0
Z01005,352,20
Z01007,216,188
Z01008,91,38
Z01009,46,0
Z01010,157,75
Z01011,136,52
Z01012,86,50
Z01013,869,10
Z01020,727,14
Z01022,209,0
Z01026,44,24
Z01027,395,103
Z01028,252,10
Z01029,799,787
Z01030,77,0
Z01031,121,14
Z01032,91,77
Z01033,113,47
Z01034,365,289
Z01035,195,26
Z01036,55,55
Z01037,20,20
Z01038,54,54
Z01039,70,0
Z01040,1452,76
Z01050,249,167
Z01053,21,10
Z01054,32,5
Z01056,446,34
Z01057,205,59
Z01060,460,82
Z01062,208,17
Z01063,0,0
Z01066,0,0
Z01068,23,9
Z01069,342,101
Z01070,67,58
Z01071,68,17
Z01072,119,58
Z01073,48,0
Z01074,20,20
Z01075,325,90
Z01077,332,102
Z01079,35,0
Z01080,127,0
Z01081,147,75
Z01082,407,125
Z01083,135,13
Z01084,23,10
Z01085,1168,99
Z01086,0,0
Z01088,13,6
Z01089,679,0
Z01092,54,0
Z01093,10,0
Z01094,13,0
Z01095,176,84
Z01096,83,58
Z01097,0,0
Z01098,115,96
Z01103,296,22
Z01104,653,13
Z01105,889,13
Z01106,286,112
Z01107,361,8
Z01108,1130,57
Z01109,1411,0
Z01118,385,34
Z01119,208,44
Z01128,19,0
Z01129,194,8
Z01151,398,8
Z01199,0,0
Z01201,1937,394
Z01220,516,54
Z01222,0,0
Z01223,1046,927
Z01224,9,9
Z01225,181,81
Z01226,343,13
Z01229,30,10
Z01230,1107,848
Z01235,388,265
Z01236,136,90
Z01237,542,385
Z01238,756,599
Z01240,610,502
Z01242,35,35
Z01243,33,27
Z01244,36,26
Z01245,442,436
Z01247,1066,124
Z01253,223,202
Z01254,147,111
Z01255,345,313
Z01256,22,9
Z01257,279,224
Z01258,169,155
Z01259,178,166
Z01260,10,0
Z01262,417,391
Z01264,71,52
Z01266,464,334
Z01267,704,286
Z01270,130,93
Z01301,549,37
Z01330,186,155
Z01331,961,288
Z01337,73,23
Z01338,21,6
Z01339,203,107
Z01340,228,159
Z01341,107,72
Z01342,19,0
Z01343,7,0
Z01344,49,0
Z01346,204,176
Z01347,0,0
Z01349,55,19
Z01350,11,6
Z01351,54,7
Z01354,53,24
Z01355,8,0
Z01360,154,90
Z01364,402,116
Z01366,67,30
Z01367,71,43
Z01368,93,45
Z01370,196,94
Z01373,215,43
Z01375,46,0
Z01376,217,15
Z01378,139,80
Z01379,20,11
Z01420,2189,111
Z01430,532,414
Z01431,82,43
Z01432,229,0
Z01434,0,0
Z01436,29,29
Z01438,0,0
Z01440,1027,151
Z01450,251,85
Z01451,31,0
Z01452,159,82
Z01453,1063,74
Z01460,245,23
Z01462,280,126
Z01463,204,9
Z01464,131,0
Z01467,40,40
Z01468,264,116
Z01469,101,12
Z01473,272,200
Z01474,127,32
Z01475,563,189
Z01501,349,27
Z01503,85,15
Z01504,295,36
Z01505,133,11
Z01506,124,21
Z01507,169,9
Z01510,567,8
Z01515,68,23
Z01516,190,72
Z01518,151,57
Z01519,56,0
Z01520,335,0
Z01521,445,357
Z01522,106,9
Z01523,128,86
Z01524,179,43
Z01525,0,0
Z01527,325,36
Z01529,66,3
Z01531,31,0
Z01532,145,0
Z01534,186,0
Z01535,384,47
Z01536,223,0
Z01537,104,0
Z01540,224,16
Z01541,55,0
Z01542,25,0
Z01543,296,134
Z01545,919,0
Z01550,704,14
Z01560,196,0
Z01561,38,0
Z01562,625,91
Z01564,73,30
Z01566,228,50
Z01568,279,0
Z01569,182,0
Z01570,984,310
Z01571,347,0
Z01581,345,44
Z01583,97,18
Z01585,192,62
Z01588,251,0
Z01590,279,100
Z01602,476,18
Z01603,697,0
Z01604,1308,148
Z01605,1179,21
Z01606,751,49
Z01607,413,0
Z01608,287,19
Z01609,1121,183
Z01610,916,0
Z01611,84,0
Z01612,71,25
Z01701,336,9
Z01702,581,12
Z01718,0,0
Z01719,25,0
Z01720,362,110
Z01721,148,0
Z01730,201,14
Z01731,66,0
Z01740,57,0
Z01741,65,0
Z01742,558,127
Z01745,27,0
Z01746,47,0
Z01747,91,0
Z01748,276,59
Z01749,309,19
Z01752,1002,62
Z01754,260,17
Z01756,65,33
Z01757,649,0
Z01760,421,73
Z01770,93,0
Z01772,202,10
Z01773,208,71
Z01775,53,0
Z01776,158,22
Z01778,222,91
Z01801,909,74
Z01803,499,84
Z01810,623,34
Z01821,294,32
Z01824,317,65
Z01826,293,0
Z01827,32,0
Z01830,645,91
Z01832,732,67
Z01833,116,0
Z01834,111,0
Z01835,388,39
Z01840,121,16
Z01841,945,9
Z01843,505,0
Z01844,779,48
Z01845,536,87
Z01850,478,0
Z01851,689,0
Z01852,1008,101
Z01854,784,97
Z01860,54,0
Z01862,208,0
Z01863,108,9
Z01864,330,32
Z01867,444,67
Z01876,383,19
Z01879,75,18
Z01880,454,9
Z01886,461,256
Z01887,171,30
Z01890,332,87
Z01901,68,0
Z01902,1376,33
Z01904,231,0
Z01905,470,0
Z01906,649,84
Z01907,133,71
Z01908,117,11
Z01913,522,75
Z01915,876,110
Z01921,19,19
Z01922,0,0
Z01923,594,86
Z01929,202,96
Z01930,1844,918
Z01937,0,0
Z01938,381,155
Z01940,334,53
Z01944,237,192
Z01945,636,242
Z01949,111,0
Z01950,535,288
Z01951,292,198
Z01952,1087,826
Z01960,1038,139
Z01966,921,773
Z01969,27,12
Z01970,1277,141
Z01982,256,151
Z01983,38,10
Z01984,85,0
Z01985,89,22
Z02019,271,0
Z02021,433,94
Z02025,365,365
Z02026,265,67
Z02030,85,0
Z02032,0,0
Z02035,221,76
Z02038,314,61
Z02043,595,19
Z02045,964,630
Z02047,90,48
Z02048,374,33
Z02050,1367,943
Z02052,238,31
Z02053,142,9
Z02054,16,0
Z02056,118,0
Z02061,103,9
Z02062,399,10
Z02066,736,463
Z02067,327,54
Z02071,0,0
Z02072,746,8
Z02081,277,0
Z02090,102,20
Z02093,190,85
Z02108,284,61
Z02109,342,182
Z02110,339,97
Z02111,270,192
Z02113,276,67
Z02114,759,157
Z02115,754,118
Z02116,1449,560
Z02118,886,260
Z02119,1096,18
Z02120,361,0
Z02121,1014,40
Z02122,844,27
Z02124,1702,16
Z02125,1238,34
Z02126,889,0
Z02127,891,107
Z02128,1116,51
Z02129,656,152
Z02130,742,46
Z02131,642,11
Z02132,504,92
Z02134,1028,48
Z02135,1851,163
Z02136,644,0
Z02138,1610,482
Z02139,1479,266
Z02140,380,107
Z02141,663,255
Z02142,482,254
Z02143,242,9
Z02144,327,27
Z02145,572,13
Z02148,1272,63
Z02149,1095,0
Z02150,650,15
Z02151,1284,26
Z02152,553,32
Z02155,1078,102
Z02163,196,33
Z02169,1533,111
Z02170,322,0
Z02171,506,50
Z02176,473,16
Z02180,351,26
Z02184,498,80
Z02186,253,0
Z02188,474,81
Z02189,53,0
Z02190,139,0
Z02191,250,37
Z02199,148,93
Z02203,0,0
Z02210,360,130
Z02215,898,241
Z02301,2559,133
Z02302,592,13
Z02322,92,7
Z02324,557,55
Z02330,226,79
Z02332,649,358
Z02333,105,0
Z02338,123,81
Z02339,139,49
Z02341,0,0
Z02343,132,0
Z02346,556,175
Z02347,429,289
Z02351,300,12
Z02356,75,0
Z02357,0,0
Z02359,366,122
Z02360,3907,2548
Z02364,210,157
Z02366,0,0
Z02367,46,0
Z02368,753,56
Z02370,448,38
Z02375,201,0
Z02379,195,25
Z02382,155,0
Z02420,153,44
Z02421,365,0
Z02445,699,99
Z02446,1161,160
Z02451,561,102
Z02452,171,0
Z02453,907,70
Z02457,84,32
Z02458,404,38
Z02459,315,72
Z02460,83,0
Z02461,107,0
Z02462,51,6
Z02464,64,0
Z02465,159,0
Z02466,108,0
Z02467,530,66
Z02468,35,0
Z02472,872,107
Z02474,621,84
Z02476,354,167
Z02478,605,8
Z02481,245,49
Z02482,177,46
Z02492,224,0
Z02493,178,47
Z02494,120,0
Z02532,1776,1485
Z02534,212,212
Z02535,1567,1517
Z02536,3922,3353
Z02537,888,788
Z02538,624,559
Z02539,3843,3592
Z02540,2823,2571
Z02542,236,29
Z02543,462,421
Z02553,95,95
Z02554,6602,6044
Z02556,1038,989
Z02557,2829,2544
Z02558,882,768
Z02559,989,942
Z02561,22,22
Z02562,651,573
Z02563,650,551
Z02564,1238,1217
Z02568,1724,1579
Z02571,1255,1046
Z02575,1299,1218
Z02576,262,127
Z02584,0,0
Z02601,2208,1457
Z02630,336,268
Z02631,3474,3289
Z02632,1480,1349
Z02633,2444,2234
Z02635,698,578
Z02637,44,44
Z02638,1761,1675
Z02639,3641,3384
Z02641,414,392
Z02642,3615,3537
Z02643,47,47
Z02644,196,148
Z02645,2038,1854
Z02646,1715,1581
Z02647,181,181
Z02648,522,455
Z02649,3900,3565
Z02650,465,442
Z02651,0,0
Z02652,1244,1187
Z02653,2370,2106
Z02655,1427,1299
Z02657,2735,2511
Z02659,963,895
Z02660,1725,1646
Z02663,287,287
Z02664,2463,2133
Z02666,1213,1213
Z02667,2641,2537
Z02668,131,92
Z02669,431,431
Z02670,1665,1572
Z02671,910,862
Z02672,368,368
Z02673,2932,2535
Z02675,1029,861
Z02702,63,0
Z02703,1259,83
Z02713,137,135
Z02715,60,0
Z02717,145,59
Z02718,214,18
Z02719,760,347
Z02720,1611,218
Z02721,1443,242
Z02723,819,90
Z02724,1087,165
Z02725,51,41
Z02726,432,148
Z02738,583,514
Z02739,880,699
Z02740,1958,77
Z02743,106,51
Z02744,638,46
Z02745,678,15
Z02746,876,23
Z02747,308,55
Z02748,636,408
Z02760,764,69
Z02762,408,42
Z02763,26,0
Z02764,60,0
Z02766,342,0
Z02767,206,39
Z02769,257,10
Z02770,59,23
Z02771,149,0
Z02777,602,201
Z02779,17,0
Z02780,1475,32
Z02790,1149,813
Z02791,116,116
Z02802,0,0
Z02804,137,62
Z02806,399,73
Z02807,1394,1359
Z02808,46,0
Z02809,681,261
Z02812,29,29
Z02813,1892,1657
Z02814,435,132
Z02815,0,0
Z02816,902,114
Z02817,196,34
Z02818,478,76
Z02822,91,0
Z02825,114,8
Z02826,55,0
Z02827,58,0
Z02828,110,0
Z02830,148,0
Z02831,74,0
Z02832,213,73
Z02833,26,0
Z02835,635,582
Z02836,0,0
Z02837,696,639
Z02838,148,16
Z02839,33,0
Z02840,2642,1814
Z02841,0,0
Z02842,946,592
Z02852,710,229
Z02857,118,9
Z02858,0,0
Z02859,248,103
Z02860,2681,101
Z02861,989,46
Z02863,1201,0
Z02864,607,47
Z02865,402,48
Z02871,960,598
Z02872,424,390
Z02873,0,0
Z02874,188,166
Z02875,0,0
Z02876,0,0
Z02878,705,318
Z02879,2572,2170
Z02881,23,0
Z02882,3015,2782
Z02885,431,92
Z02886,834,150
Z02888,328,0
Z02889,972,212
Z02891,2743,1970
Z02892,32,32
Z02893,1247,160
Z02894,0,0
Z02895,2149,127
Z02896,480,12
Z02898,47,0
Z02903,745,121
Z02904,1553,33
Z02905,1015,11
Z02906,1397,228
Z02907,1581,20
Z02908,2325,41
Z02909,2240,23
Z02910,910,0
Z02911,395,0
Z02912,0,0
Z02914,680,97
Z02915,320,0
Z02916,185,0
Z02917,291,51
Z02919,1171,0
Z02920,611,11
Z02921,195,0
Z03031,113,46
Z03032,89,0
Z03033,11,0
Z03034,52,0
Z03036,57,0
Z03037,152,109
Z03038,631,114
Z03042,278,80
Z03043,187,119
Z03044,0,0
Z03045,293,39
Z03046,93,38
Z03047,95,79
Z03048,176,72
Z03049,180,180
Z03051,330,110
Z03052,135,60
Z03053,267,30
Z03054,360,61
Z03055,283,41
Z03057,68,37
Z03060,1031,25
Z03062,396,43
Z03063,423,169
Z03064,356,28
Z03070,79,24
Z03071,206,103
Z03076,185,106
Z03077,207,69
Z03079,623,286
Z03082,76,40
Z03084,95,52
Z03086,171,58
Z03087,219,167
Z03101,199,0
Z03102,1133,0
Z03103,1454,105
Z03104,877,87
Z03106,72,0
Z03109,308,60
Z03110,247,52
Z03215,1072,1067
Z03216,180,137
Z03217,535,319
Z03218,65,8
Z03220,706,495
Z03221,343,274
Z03222,2019,1856
Z03223,1125,841
Z03224,166,79
Z03225,666,607
Z03226,358,332
Z03227,211,169
Z03229,266,194
Z03230,190,146
Z03231,21,21
Z03233,32,32
Z03234,100,33
Z03235,589,154
Z03237,478,416
Z03238,17,13
Z03240,294,243
Z03241,458,446
Z03242,328,171
Z03243,100,72
Z03244,805,535
Z03245,632,533
Z03246,3094,2688
Z03249,2045,1680
Z03251,2427,2351
Z03253,2013,1819
Z03254,3186,3014
Z03255,815,731
Z03256,327,281
Z03257,578,513
Z03258,85,21
Z03259,121,104
Z03260,85,59
Z03261,427,344
Z03262,800,684
Z03263,88,8
Z03264,427,252
Z03266,512,414
Z03268,9,9
Z03269,459,438
Z03273,109,76
Z03275,405,48
Z03276,317,194
Z03278,345,218
Z03279,235,197
Z03280,655,601
Z03281,672,451
Z03282,172,151
Z03284,195,159
Z03285,912,823
Z03287,86,70
Z03290,209,186
Z03291,0,0
Z03293,97,97
Z03301,1135,97
Z03303,424,167
Z03304,104,0
Z03307,142,59
Z03431,656,154
Z03440,385,255
Z03441,64,14
Z03442,162,69
Z03443,0,0
Z03444,167,139
